time_s,road_mm,baseline_mm,revised_mm
4.70400000,-5.00000000,-4.99996113,-5.00002370
4.70900000,-5.00000000,-4.99997417,-5.00002011
4.71400000,-5.00000000,-4.99998877,-5.00001639
4.71900000,-5.00000000,-5.00000311,-5.00001264
4.72400000,-5.00000000,-5.00001559,-5.00000898
4.72900000,-5.00000000,-5.00002499,-5.00000547
4.73400000,-5.00000000,-5.00003056,-5.00000221
4.73900000,-5.00000000,-5.00003208,-4.99999925
4.74400000,-5.00000000,-5.00002980,-4.99999663
4.74900000,-5.00000000,-5.00002438,-4.99999440
4.75400000,-5.00000000,-5.00001676,-4.99999255
4.75900000,-5.00000000,-5.00000804,-4.99999111
4.76400000,-5.00000000,-4.99999933,-4.99999006
4.76900000,-5.00000000,-4.99999160,-4.99998939
4.77400000,-5.00000000,-4.99998565,-4.99998907
4.77900000,-5.00000000,-4.99998195,-4.99998908
4.78400000,-5.00000000,-4.99998068,-4.99998938
4.78900000,-5.00000000,-4.99998174,-4.99998993
4.79400000,-5.00000000,-4.99998476,-4.99999068
4.79900000,-5.00000000,-4.99998920,-4.99999159
4.80400000,-5.00000000,-4.99999439,-4.99999263
4.80900000,-5.00000000,-4.99999967,-4.99999375
4.81400000,-5.00000000,-5.00000444,-4.99999491
4.81900000,-5.00000000,-5.00000820,-4.99999608
4.82400000,-5.00000000,-5.00001063,-4.99999722
4.82900000,-5.00000000,-5.00001160,-4.99999831
4.83400000,-5.00000000,-5.00001116,-4.99999933
4.83900000,-5.00000000,-5.00000949,-5.00000025
4.84400000,-5.00000000,-5.00000692,-5.00000106
4.84900000,-5.00000000,-5.00000384,-5.00000176
4.85400000,-5.00000000,-5.00000065,-5.00000233
4.85900000,-5.00000000,-4.99999771,-5.00000278
4.86400000,-5.00000000,-4.99999535,-5.00000310
4.86900000,-5.00000000,-4.99999376,-5.00000331
4.87400000,-5.00000000,-4.99999305,-5.00000341
4.87900000,-5.00000000,-4.99999320,-5.00000340
4.88400000,-5.00000000,-4.99999411,-5.00000331
4.88900000,-5.00000000,-4.99999559,-5.00000314
4.89400000,-5.00000000,-4.99999741,-5.00000290
4.89900000,-5.00000000,-4.99999934,-5.00000262
4.90400000,-5.00000000,-5.00000114,-5.00000229
4.90900000,-5.00000000,-5.00000262,-5.00000194
4.91400000,-5.00000000,-5.00000365,-5.00000158
4.91900000,-5.00000000,-5.00000415,-5.00000122
4.92400000,-5.00000000,-5.00000414,-5.00000086
4.92900000,-5.00000000,-5.00000365,-5.00000052
4.93400000,-5.00000000,-5.00000280,-5.00000020
4.93900000,-5.00000000,-5.00000172,-4.99999992
4.94400000,-5.00000000,-5.00000056,-4.99999966
4.94900000,-5.00000000,-4.99999946,-4.99999945
4.95400000,-5.00000000,-4.99999854,-4.99999927
4.95900000,-5.00000000,-4.99999788,-4.99999913
4.96400000,-5.00000000,-4.99999753,-4.99999903
4.96900000,-5.00000000,-4.99999749,-4.99999897
4.97400000,-5.00000000,-4.99999775,-4.99999894
4.97900000,-5.00000000,-4.99999823,-4.99999894
4.98400000,-5.00000000,-4.99999886,-4.99999897
4.98900000,-5.00000000,-4.99999956,-4.99999902
4.99400000,-5.00000000,-5.00000023,-4.99999910
4.99900000,-5.00000000,-5.00000081,-4.99999919
5.00400000,-5.00000000,-5.00000123,-4.99999929
5.00900000,-5.00000000,-5.00000147,-4.99999940
5.01400000,-5.00000000,-5.00000152,-4.99999951
5.01900000,-5.00000000,-5.00000139,-4.99999962
5.02400000,-5.00000000,-5.00000111,-4.99999973
5.02900000,-5.00000000,-5.00000074,-4.99999984
5.03400000,-5.00000000,-5.00000033,-4.99999994
5.03900000,-5.00000000,-4.99999992,-5.00000003
5.04400000,-5.00000000,-4.99999956,-5.00000011
5.04900000,-5.00000000,-4.99999929,-5.00000017
5.05400000,-5.00000000,-4.99999913,-5.00000023
5.05900000,-5.00000000,-4.99999908,-5.00000027
5.06400000,-5.00000000,-4.99999915,-5.00000030
5.06900000,-5.00000000,-4.99999930,-5.00000032
5.07400000,-5.00000000,-4.99999952,-5.00000033
5.07900000,-5.00000000,-4.99999977,-5.00000033
5.08400000,-5.00000000,-5.00000002,-5.00000032
5.08900000,-5.00000000,-5.00000024,-5.00000030
5.09400000,-5.00000000,-5.00000041,-5.00000028
5.09900000,-5.00000000,-5.00000051,-5.00000025
5.10400000,-5.00000000,-5.00000055,-5.00000022
5.10900000,-5.00000000,-5.00000052,-5.00000019
5.11400000,-5.00000000,-5.00000044,-5.00000015
5.11900000,-5.00000000,-5.00000031,-5.00000012
5.12400000,-5.00000000,-5.00000016,-5.00000008
5.12900000,-5.00000000,-5.00000001,-5.00000005
5.13400000,-5.00000000,-4.99999987,-5.00000002
5.13900000,-5.00000000,-4.99999977,-4.99999999
5.14400000,-5.00000000,-4.99999970,-4.99999997
5.14900000,-5.00000000,-4.99999967,-4.99999995
5.15400000,-5.00000000,-4.99999968,-4.99999993
5.15900000,-5.00000000,-4.99999973,-4.99999992
5.16400000,-5.00000000,-4.99999980,-4.99999991
5.16900000,-5.00000000,-4.99999989,-4.99999990
5.17400000,-5.00000000,-4.99999998,-4.99999990
5.17900000,-5.00000000,-5.00000006,-4.99999990
5.18400000,-5.00000000,-5.00000013,-4.99999990
5.18900000,-5.00000000,-5.00000018,-4.99999991
5.19400000,-5.00000000,-5.00000020,-4.99999991
5.19900000,-5.00000000,-5.00000019,-4.99999992
